Date,Open,High,Low,Close,Adj Close,Volume
2022-02-25,74.650002,76.830002,74.320000,76.349998,73.913040,8291800
2022-02-28,75.570000,76.699997,75.019997,75.970001,73.545151,9234400
2022-03-01,75.980003,76.500000,75.620003,76.010002,73.583885,8752100
2022-03-02,76.449997,78.860001,76.250000,78.279999,75.781433,8527200
2022-03-03,78.959999,79.040001,77.430000,78.250000,75.752388,8203000
2022-03-04,77.669998,77.910004,75.779999,76.489998,74.048561,8841300
2022-03-07,76.290001,76.389999,73.440002,74.320000,71.947823,11110100
2022-03-08,73.839996,75.230003,73.110001,73.330002,70.989433,9134100
2022-03-09,74.919998,76.949997,74.690002,76.099998,73.671013,8959500
2022-03-10,75.099998,76.849998,75.029999,76.650002,74.203461,13812600
2022-03-11,76.699997,79.900002,74.000000,77.820000,75.336105,22795800
2022-03-14,77.919998,78.599998,75.440002,77.070000,74.610046,13306200
2022-03-15,78.050003,81.540001,77.070000,80.599998,78.027374,16847200
2022-03-16,81.000000,81.230003,77.750000,79.959999,77.407799,14071300
2022-03-17,79.779999,81.290001,79.260002,80.599998,78.027374,10462400
2022-03-18,79.629997,81.989998,78.839996,81.680000,79.072899,24176000
2022-03-21,81.279999,81.980003,80.269997,80.959999,78.375893,8131300
2022-03-22,81.459999,82.230003,80.830002,81.800003,79.189079,9292300
2022-03-23,81.250000,81.410004,80.220001,80.389999,77.824081,7451100
2022-03-24,80.650002,82.820000,80.489998,82.239998,79.615021,7025700
2022-03-25,82.040001,82.839996,81.230003,81.730003,79.121315,5682300
2022-03-28,81.739998,83.709999,81.739998,83.599998,80.931625,6626700
2022-03-29,84.489998,84.510002,83.110001,84.290001,81.599594,5762000
2022-03-30,83.959999,84.360001,83.120003,83.360001,80.699280,5533100
2022-03-31,83.110001,83.910004,82.589996,82.730003,80.089401,9433300
2022-04-01,83.040001,83.360001,81.470001,82.010002,79.392365,6147500
2022-04-04,82.250000,84.300003,82.000000,84.070000,81.386620,7882400
2022-04-05,83.400002,84.519997,82.669998,82.940002,80.292694,5143400
2022-04-06,81.919998,82.470001,81.370003,82.120003,79.498871,5492400
2022-04-07,81.250000,82.010002,80.779999,81.540001,79.246170,7112200
2022-04-08,81.709999,81.830002,80.260002,80.940002,78.663063,6182500
2022-04-11,80.629997,81.129997,79.699997,79.760002,77.516258,5738400
2022-04-12,79.949997,80.989998,79.019997,79.330002,77.098343,6174700
2022-04-13,79.260002,79.959999,78.629997,79.750000,77.506531,4728600
2022-04-14,79.830002,80.360001,79.320000,79.449997,77.214958,5590400
2022-04-18,79.150002,79.980003,77.910004,78.220001,76.019585,4955900
2022-04-19,78.250000,79.779999,78.239998,79.559998,77.321884,5412400
2022-04-20,79.790001,81.860001,79.790001,80.290001,78.031342,9472600
2022-04-21,81.489998,81.599998,79.330002,79.480003,77.244133,5616100
2022-04-22,79.269997,79.699997,76.160004,76.209999,74.066109,9357100
2022-04-25,76.199997,77.059998,74.699997,76.980003,74.814453,7305900
2022-04-26,76.349998,76.650002,74.480003,74.510002,72.413940,7555200
